Name,#Images,#Recognised images,Percent of recognising
Mitchell_McLaughlin,1,1,100.0
Valerie_Thwaites,1,1,100.0
Spike_Helmick,1,1,100.0
Gene_Hackman,1,1,100.0
Juan_Carlos_Ferrero,28,28,100.0
Ana_Isabel_Sanchez,1,1,100.0
George_HW_Bush,12,11,91.66666666666667
Eva_Mendes,1,1,100.0
Tom_DeLay,1,1,100.0
Carla_Moreno,1,1,100.0
Andy_Hebb,2,2,100.0
Brandon_Larson,1,1,100.0
Masaru_Hayami,1,1,100.0
Vivica_Fox,2,2,100.0
Tom_Ridge,33,30,90.9090909090909
Andrew_Caldecott,1,1,100.0
Alfonso_Cuaron,1,1,100.0
Bruce_Lunsford,1,1,100.0
Neil_Goldman,1,1,100.0
Winona_Ryder,24,24,100.0
Boutros_Boutros_Ghali,1,1,100.0
Aaron_Guiel,1,1,100.0
Ismael_Miranda,1,1,100.0
Alain_Ducasse,1,1,100.0
Andy_Griggs,1,1,100.0
Sidney_Kimmel,1,1,100.0
Muhammad_Ibrahim_Bilal,1,1,100.0
King_Abdullah_II,5,5,100.0
Mike_Krzyzewski,6,6,100.0
Kiki_Vandeweghe,2,2,100.0
Paul_Henderson,1,1,100.0
Vagit_Alekperov,1,1,100.0
Vytas_Danelius,1,1,100.0
Olivera_Labus,1,1,100.0
Marta_Dominguz,1,1,100.0
