Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Nestor_Santillan,1,1,100.0,0,0.0,1530,6688,22.9
Naomi_Watts,22,1,4.5,21,95.5,490,6688,7.3
Andrea_Bocelli,1,0,0.0,1,100.0,2276,6688,34.0
Bill_Pryor,1,0,0.0,1,100.0,2270,6688,33.9
Hayley_Tullett,2,0,0.0,2,100.0,1958,6688,29.3
Warren_Beatty,2,0,0.0,2,100.0,2124,6688,31.8
Juljia_Vysotskij,1,0,0.0,1,100.0,2253,6688,33.7
Desiree_McKenzie,1,0,0.0,1,100.0,808,6688,12.1
Candace_Sutton,1,0,0.0,1,100.0,863,6688,12.9
Debra_Rose,1,0,0.0,1,100.0,2109,6688,31.5
Shawn_Kemp,1,0,0.0,1,100.0,451,6688,6.7
Nicolas_Kiefer,1,0,0.0,1,100.0,51,6688,0.8
Emmanuelle_Jagodsinski,1,0,0.0,1,100.0,1753,6688,26.2
Kiki_Vandeweghe,2,1,50.0,1,50.0,2330,6688,34.8
Mike_Scioscia,2,0,0.0,2,100.0,1557,6688,23.3
Kofi_Annan,32,9,28.1,23,71.9,1688,6688,25.2
Brad_Pitt,1,1,100.0,0,0.0,1307,6688,19.5
Andy_Lau,1,0,0.0,1,100.0,1981,6688,29.6
Miguel_Estrada,2,1,50.0,1,50.0,1727,6688,25.8
Marta_Dominguz,1,1,100.0,0,0.0,2178,6688,32.6
Tessa_Jowell,1,0,0.0,1,100.0,176,6688,2.6
Hassan_Wirajuda,2,0,0.0,2,100.0,1401,6688,20.9
Wayne_Allard,1,1,100.0,0,0.0,1609,6688,24.1
Kent_Robinson,1,0,0.0,1,100.0,1919,6688,28.7
Judy_Spreckels,1,0,0.0,1,100.0,1016,6688,15.2
Michael_Goldrich,1,1,100.0,0,0.0,2302,6688,34.4
Naoto_Kan,4,1,25.0,3,75.0,1227,6688,18.3
Lee_Hong-ki,1,1,100.0,0,0.0,1378,6688,20.6
Alma_Powell,1,0,0.0,1,100.0,2302,6688,34.4
Mario_Jardel,1,0,0.0,1,100.0,2315,6688,34.6
Terunobu_Maeda,1,0,0.0,1,100.0,377,6688,5.6
Alexandra_Vodjanikova,2,0,0.0,2,100.0,1761,6688,26.3
Michael_Taylor,1,0,0.0,1,100.0,1610,6688,24.1
Bobby_Goldwater,2,0,0.0,2,100.0,2683,6688,40.1
Jimmy_Kimmel,2,2,100.0,0,0.0,2127,6688,31.8
Anderson_Varejao,1,0,0.0,1,100.0,2376,6688,35.5
Bill_Rainer,1,0,0.0,1,100.0,2349,6688,35.1
Thomas_Van_Essen,1,0,0.0,1,100.0,783,6688,11.7
Ira_Einhorn,1,0,0.0,1,100.0,1727,6688,25.8
Michael_Donovan,1,0,0.0,1,100.0,2147,6688,32.1
Angie_Arzola,1,1,100.0,0,0.0,2159,6688,32.3
